unique_spon_names,normed_spon_names
Shenzhen Hospital of Southern Medical University,Shenzhen Hospital of Southern Medical University
Shenzhen national medicine inheritance medical research institute co. LTD,Shenzhen National Medicine Inheritance Medical Research Institute co. LTD
Shenzhen Second People's Hospital,Shenzhen Second People's Hospital
Shenzhen Third People's Hospital,Shenzhen Third People's Hospital
ShuGuang Hospital,ShuGuang Hospital
Sichuan Academy of Medical Sciences & Sichuan Provincial PeopleaTMs Hospital,Sichuan Academy of Medical Sciences & Sichuan Provincial People's Hospital
Sichuan Academy of Medical Sciences & Sichuan Provincial Peoples Hospital,Sichuan Academy of Medical Sciences & Sichuan Provincial People's Hospital
"Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University","Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University"
"Southeast University, China","Southeast University, China"
"State Key Laboratory of Respiratory Disease, National Clinical Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, The First Affiliated Hospital of Guangzhou Medical University","State Key Laboratory of Respiratory Disease, National Clinical Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, The First Affiliated Hospital of Guangzhou Medical University"
Stem Cells Arabia,Stem Cells Arabia
Study Group for Efficiency and Quality of Emergency Departments and Non-Scheduled Activities Departm,Study Group for Efficiency and Quality of Emergency Departments and Non-Scheduled Activities Departm
Sun Yat sen Memorial Hospital of Sun Yat sen University,Sun Yat sen Memorial Hospital of Sun Yat sen University
Synairgen Research Limited,Synairgen Research Limited
Tang-Du Hospital,Tang-Du Hospital
"Tasly Pharmaceuticals, Inc.","Tasly Pharmaceuticals, Inc."
Tehran University of Medical Sciences,Tehran University of Medical Sciences
The 5th Medical Center Chinese PLA General Hospital,The 5th Medical Center Chinese PLA General Hospital
The affiliated Hospital to Changchun University of Traditional Chinese Medicine,The Affiliated Hospital to Changchun University of Traditional Chinese Medicine
The Chinese University of Hong Kong,The Chinese University of Hong Kong
The Fifth Affiliated Hospital of Sun Yat-Sen University,The Fifth Affiliated Hospital of Sun Yat-Sen University
The Fifth Affiliated Hospital of Sun Yat-sen University,The Fifth Affiliated Hospital of Sun Yat-Sen University
The Fifth Affiliated Hospital Sun Yat-Sen University,The Fifth Affiliated Hospital of Sun Yat-Sen University
The Fifth Hospital Affiliated to Sun Yat-sen University,The Fifth Affiliated Hospital of Sun Yat-Sen University
the First Affiliated Hospital Division of Life Sciences and Medicine University of Science and Technology of China,The First Affiliated Hospital Division of Life Sciences and Medicine University of Science and Technology of China
The First Affiliated Hospital of Anhui University of Traditional Chinese Medicine,The First Affiliated Hospital of Anhui University of Traditional Chinese Medicine
The First Affiliated Hospital of Bengbu Medical College,The First Affiliated Hospital of Bengbu Medical College
The First Affiliated Hospital of Fujian Medical University,The First Affiliated Hospital of Fujian Medical University
The First Affiliated Hospital of Guangzhou Medical University,The First Affiliated Hospital of Guangzhou Medical University
The First Affiliated Hospital of Guangzhou University of TCM,The First Affiliated Hospital of Guangzhou University of TCM
The First Affiliated Hospital of Guangzhou University of Traditional Chinese Medicine,The First Affiliated Hospital of Guangzhou University of Traditional Chinese Medicine
The First Affiliated Hospital of Harbin Medical University,The First Affiliated Hospital of Harbin Medical University
The First Affiliated Hospital of He'nan University of Chinese Medicine,The First Affiliated Hospital of He'nan University of Chinese Medicine
The First Affiliated Hospital of HeNan University of CM,The First Affiliated Hospital of He'nan University of Chinese Medicine
The First Affiliated Hospital of Hu'nan University of traditional Chinese Medicine,The First Affiliated Hospital of Hu'nan University of Traditional Chinese Medicine
The First Affiliated Hospital of Medical College of Zhejiang University,The First Affiliated Hospital of Medical College of Zhejiang University
The First Affiliated Hospital of Nanchang University,The First Affiliated Hospital of Nanchang University
"The First Affiliated Hospital of Nanchang University, Ten layers pulse Research Institute of traditional Chinese medicine, Nanchang University","The First Affiliated Hospital of Nanchang University, Ten layers pulse Research Institute of traditional Chinese medicine, Nanchang University"
The First Affiliated Hospital of the Guangzhou Medical University,The First Affiliated Hospital of the Guangzhou Medical University
The First Affiliated Hospital of University of science and technology of China (Anhui Provincial Hospital),The First Affiliated Hospital of University of science and technology of China (Anhui Provincial Hospital)
The First Affiliated Hospital of Wenzhou Medical University,The First Affiliated Hospital of Wenzhou Medical University
the First Affiliated Hospital of Xinxiang Medical University,The First Affiliated Hospital of Xinxiang Medical University
The First Affiliated Hospital of Zhejiang University of Traditional Chinese Medicine,The First Affiliated Hospital of Zhejiang University of Traditional Chinese Medicine
The First Affiliated Hospital of Zhejiang University School of Medicine,The First Affiliated Hospital of Zhejiang University School of Medicine
The First Affiliated Hospital of Zhengzhou University,The First Affiliated Hospital of Zhengzhou University
"The First Affiliated Hospital, College of Medicine of Zhejiang University",The First Affiliated Hospital of Zhengzhou University
"The First Affiliated Hospital, College of Medicine, Zhejiang University",The First Affiliated Hospital of Zhengzhou University
"The First Affiliated Hospital, Zhejiang University School of Medicine","The First Affiliated Hospital, Zhejiang University School of Medicine"
The First Affiliated of Wenzhou Medical University,The First Affiliated of Wenzhou Medical University
The First Afflicated Hospital of Guangzhou University of Chinese Medicine,The First Afflicated Hospital of Guangzhou University of Chinese Medicine
The First Hospital Affiliated to Zhejiang University's Medical School,The First Hospital Affiliated to Zhejiang University's Medical School
The First Hospital of Changsha,The First Hospital of Changsha
The First Hospital of Changsha; The Second Xiangya Hospital of Central South University,The First Hospital of Changsha; The Second Xiangya Hospital of Central South University
The First Hospital of He'nan University of Chinese Medicine,The First Hospital of He'nan University of Chinese Medicine
The First Hospital of Jilin University,The First Hospital of Jilin University
The First Hospital of Peking University,The First Hospital of Peking University
The First Hospital of Shanxi Medical University,The First Hospital of Shanxi Medical University
"The First People's Hospital of Chenzhou, Institute of Translational Medicine,University of South China","The First People's Hospital of Chenzhou, Institute of Translational Medicine,University of South China"
The First People's Hospital of Huaihua,The First People's Hospital of Huaihua
"The First People's Hospital of Jiangxia District, Wuhan","The First People's Hospital of Jiangxia District, Wuhan"
The Fourth Affiliated Hospital of Harbin Medical University,The Fourth Affiliated Hospital of Harbin Medical University
The Fourth Hospital of Hebei Medical University,The Fourth Hospital of Hebei Medical University
The Ninth Hospital of Nanchang,The Ninth Hospital of Nanchang
The People's Hospital of Guangxi Zhuang Autonomous Region,The People's Hospital of Guangxi Zhuang Autonomous Region
The People's Hospital of GuangXi Zhuang Autonomous Region,The People's Hospital of Guangxi Zhuang Autonomous Region
The Second Affiliated hospital of Anhui Medical University,The Second Affiliated hospital of Anhui Medical University
The Second Affiliated Hospital of Chongqing Medical University,The Second Affiliated Hospital of Chongqing Medical University
The Second Affiliated Hospital of Guizhou University of traditional Chinese Medicine,The Second Affiliated Hospital of Guizhou University of traditional Chinese Medicine
The Second Affiliated Hospital of Nanchang University,The Second Affiliated Hospital of Nanchang University
The Second Affiliated Hospital of Wenzhou Medical University,The Second Affiliated Hospital of Wenzhou Medical University
the Second Affiliated hospital of Xi'an Jiaotong University,The Second Affiliated Hospital of Xi'an Jiaotong University
The Second Affiliated Hospital of Xi'an Jiaotong University,The Second Affiliated Hospital of Xi'an Jiaotong University
